ID,Total moves taken,Hearts lost,Time,Fail reason,Result
1,27,3,31,ClassicBomb,lose
2,16,3,16,ClassicBomb,lose
3,11,3,37,ClassicBomb,lose
4,8,3,5,HeartDrainBomb,lose
5,41,0,95,,win
6,22,0,52,,win
7,3,3,5,HeartDrainBomb,lose
8,41,3,64,ClassicBomb,lose
9,11,3,6,ClassicBomb,lose
10,9,3,7,ClassicBomb,lose
11,26,3,63,ClassicBomb,lose
12,6,3,32,CountdownBomb,lose
13,6,3,5,ClassicBomb,lose
14,19,3,51,CountdownBomb,lose
16,11,3,10,ClassicBomb,lose
17,14,3,8,HeartDrainBomb,lose
18,29,1,108,,win
19,2,3,1,ClassicBomb,lose
20,5,3,5,ClassicBomb,lose
21,25,0,77,,win
22,47,2,116,,win
23,50,3,109,ClassicBomb,lose
24,29,0,68,,win
25,3,3,1,ClassicBomb,lose
26,13,3,27,ClassicBomb,lose
27,36,3,88,ClassicBomb,lose
28,24,1,58,,win
29,2,3,1,ClassicBomb,lose
30,26,3,41,ClassicBomb,lose
31,3,3,1,ClassicBomb,lose
32,27,1,54,,win
33,15,3,13,ClassicBomb,lose
34,36,0,62,,win
35,23,0,68,,win
36,17,3,16,ClassicBomb,lose
37,26,3,19,ClassicBomb,lose
38,21,3,23,ClassicBomb,lose
39,16,1,32,CountdownBomb,lose
40,22,3,19,ClassicBomb,lose
41,25,3,64,ClassicBomb,lose
42,30,1,73,,win
43,4,3,2,ClassicBomb,lose
44,8,3,9,ClassicBomb,lose
45,2,3,4,ClassicBomb,lose
46,24,3,15,HeartDrainBomb,lose
47,27,3,33,CountdownBomb,lose
48,9,3,5,ClassicBomb,lose
49,17,3,7,HeartDrainBomb,lose
50,15,3,9,HeartDrainBomb,lose
51,26,3,13,ClassicBomb,lose
52,16,3,11,HeartDrainBomb,lose
53,1,3,0,ClassicBomb,lose
54,7,3,15,ClassicBomb,lose
55,28,3,28,HeartDrainBomb,lose
56,11,3,5,ClassicBomb,lose
57,12,3,9,HeartDrainBomb,lose
58,13,3,7,ClassicBomb,lose
59,14,3,10,HeartDrainBomb,lose
